u_BT,PosXRight,PosYRight,u_VSP1,Absolute Time
0.020221,0.020600,1.000000,0.858369,3568296684.980470
0.020221,0.020600,1.000000,0.858369,3568296684.990470
0.020221,0.020600,1.000000,0.858369,3568296685.000471
0.020221,0.020600,1.000000,0.858369,3568296685.010473
0.020221,0.020600,1.000000,0.858369,3568296685.020473
0.020221,0.020600,1.000000,0.858369,3568296685.030471
0.020221,0.020600,1.000000,0.858369,3568296685.040472
0.020221,0.020600,1.000000,0.858369,3568296685.050472
0.020221,0.020600,1.000000,0.858369,3568296685.060473
0.020221,0.020600,1.000000,0.858369,3568296685.070473
0.020221,0.020600,1.000000,0.858369,3568296685.080473
0.020221,0.020600,1.000000,0.858369,3568296685.090473
0.020221,0.020600,1.000000,0.858369,3568296685.100473
0.020221,0.020600,1.000000,0.858369,3568296685.110474
0.020221,0.020600,1.000000,0.858369,3568296685.120474
0.020221,0.020600,1.000000,0.858369,3568296685.130476
0.020221,0.020600,1.000000,0.858369,3568296685.140474
0.020221,0.020600,1.000000,0.858369,3568296685.150475
0.020221,0.020600,1.000000,0.858369,3568296685.160475
0.020221,0.020600,1.000000,0.858369,3568296685.170475
0.020221,0.020600,1.000000,0.858369,3568296685.180477
0.020221,0.020600,1.000000,0.858369,3568296685.190478
0.020221,0.020600,1.000000,0.858369,3568296685.200476
0.020221,0.020600,1.000000,0.858369,3568296685.210476
0.020221,0.020600,1.000000,0.858369,3568296685.220478
0.020221,0.020600,1.000000,0.858369,3568296685.230478
0.020221,0.020600,1.000000,0.858369,3568296685.240479
0.020221,0.020600,1.000000,0.858369,3568296685.250478
0.020221,0.020600,1.000000,0.858369,3568296685.260478
0.020221,0.020600,1.000000,0.858369,3568296685.270477
0.020221,0.020600,1.000000,0.858369,3568296685.280479
0.020221,0.020600,1.000000,0.858369,3568296685.290479
0.020221,0.020600,1.000000,0.858369,3568296685.300479
0.020221,0.020600,1.000000,0.858369,3568296685.310479
0.020221,0.020600,1.000000,0.858369,3568296685.320480
0.020221,0.020600,1.000000,0.858369,3568296685.330480
0.020221,0.020600,1.000000,0.858369,3568296685.340480
0.020221,0.020600,1.000000,0.858369,3568296685.350482
0.020221,0.020600,1.000000,0.858369,3568296685.360481
0.020221,0.020600,1.000000,0.858369,3568296685.370482
0.020221,0.020600,1.000000,0.858369,3568296685.380481
0.020221,0.020600,1.000000,0.858369,3568296685.390482
0.020221,0.020600,1.000000,0.858369,3568296685.400482
0.020221,0.020600,1.000000,0.858369,3568296685.410483
0.020221,0.020600,1.000000,0.858369,3568296685.420484
0.020221,0.020600,1.000000,0.858369,3568296685.430484
0.020221,0.020600,1.000000,0.858369,3568296685.440484
0.020221,0.020600,1.000000,0.858369,3568296685.450484
0.020221,0.020600,1.000000,0.858369,3568296685.460484
0.020221,0.020600,1.000000,0.858369,3568296685.470484
0.020221,0.020600,1.000000,0.858369,3568296685.480485
0.020221,0.020600,1.000000,0.858369,3568296685.490485
0.020221,0.020600,1.000000,0.858369,3568296685.500485
0.020221,0.020600,1.000000,0.858369,3568296685.510484
0.020221,0.020600,1.000000,0.858369,3568296685.520487
0.020221,0.020600,1.000000,0.858369,3568296685.530486
0.020221,0.020600,1.000000,0.858369,3568296685.540486
0.020221,0.020600,1.000000,0.858369,3568296685.550487
0.020221,0.020600,1.000000,0.858369,3568296685.560487
0.020221,0.020600,1.000000,0.858369,3568296685.570486
0.020221,0.020600,1.000000,0.858369,3568296685.580488
0.020221,0.020600,1.000000,0.858369,3568296685.590487
0.020221,0.020600,1.000000,0.858369,3568296685.600488
0.020221,0.020600,1.000000,0.858369,3568296685.610488
0.020221,0.020600,1.000000,0.858369,3568296685.620489
0.020221,0.020600,1.000000,0.858369,3568296685.630489
0.020221,0.020600,1.000000,0.858369,3568296685.640490
0.020221,0.020600,1.000000,0.858369,3568296685.650489
0.020221,0.020600,1.000000,0.858369,3568296685.660490
0.020221,0.020600,1.000000,0.858369,3568296685.670489
0.020221,0.020600,1.000000,0.858369,3568296685.680490
0.020221,0.020600,1.000000,0.858369,3568296685.690493
0.020221,0.020600,1.000000,0.858369,3568296685.700491
0.020221,0.020600,1.000000,0.858369,3568296685.710490
0.020221,0.020600,1.000000,0.858369,3568296685.720492
0.020221,0.020600,1.000000,0.858369,3568296685.730492
0.020221,0.020600,1.000000,0.858369,3568296685.740489
0.020221,0.020600,1.000000,0.858369,3568296685.750493
0.020221,0.020600,1.000000,0.858369,3568296685.760493
0.020221,0.020600,1.000000,0.858369,3568296685.770492
0.020221,0.020600,1.000000,0.858369,3568296685.780494
0.020221,0.020600,1.000000,0.858369,3568296685.790493
0.020221,0.020600,1.000000,0.858369,3568296685.800493
0.020221,0.020600,1.000000,0.858369,3568296685.810494
0.020221,0.020600,1.000000,0.858369,3568296685.820495
0.020221,0.020600,1.000000,0.858369,3568296685.830494
0.020221,0.020600,1.000000,0.858369,3568296685.840495
0.020221,0.020600,1.000000,0.858369,3568296685.850495
0.020221,0.020600,1.000000,0.858369,3568296685.860496
0.020221,0.020600,1.000000,0.858369,3568296685.870494
0.020221,0.020600,1.000000,0.858369,3568296685.880496
0.020221,0.020600,1.000000,0.858369,3568296685.890495
0.020221,0.020600,1.000000,0.858369,3568296685.900496
0.020221,0.020600,1.000000,0.858369,3568296685.910498
0.020221,0.020600,1.000000,0.858369,3568296685.920497
0.020221,0.020600,1.000000,0.858369,3568296685.930497
0.020221,0.020600,1.000000,0.858369,3568296685.940497
0.020221,0.020600,1.000000,0.858369,3568296685.950498
0.020221,0.020600,1.000000,0.858369,3568296685.960499
0.020221,0.020600,1.000000,0.858369,3568296685.970498
0.020221,0.020600,1.000000,0.858369,3568296685.980500
0.020221,0.020600,1.000000,0.858369,3568296685.990499
0.020221,0.020600,1.000000,0.858369,3568296686.000499
0.020221,0.020600,1.000000,0.858369,3568296686.010499
0.020221,0.020600,1.000000,0.858369,3568296686.020500
0.020221,0.020600,1.000000,0.858369,3568296686.030502
0.020221,0.020600,1.000000,0.858369,3568296686.040500
0.020221,0.020600,1.000000,0.858369,3568296686.050500
0.020221,0.020600,1.000000,0.858369,3568296686.060501
0.020221,0.020600,1.000000,0.858369,3568296686.070501
0.020221,0.020600,1.000000,0.858369,3568296686.080502
0.020221,0.020600,1.000000,0.858369,3568296686.090502
0.020221,0.020600,1.000000,0.858369,3568296686.100502
0.020221,0.020600,1.000000,0.858369,3568296686.110502
0.020221,0.020600,1.000000,0.858369,3568296686.120504
0.020221,0.020600,1.000000,0.858369,3568296686.130505
0.020221,0.020600,1.000000,0.858369,3568296686.140503
0.020221,0.020600,1.000000,0.858369,3568296686.150504
0.020221,0.020600,1.000000,0.858369,3568296686.160503
0.020221,0.020600,1.000000,0.858369,3568296686.170504
0.020221,0.020600,1.000000,0.858369,3568296686.180504
0.020221,0.020600,1.000000,0.858369,3568296686.190505
0.020221,0.020600,1.000000,0.858369,3568296686.200507
0.020221,0.020600,1.000000,0.858369,3568296686.210505
0.020221,0.020600,1.000000,0.858369,3568296686.220506
0.020221,0.020600,1.000000,0.858369,3568296686.230505
0.020221,0.020600,1.000000,0.858369,3568296686.240506
0.020221,0.020600,1.000000,0.858369,3568296686.250506
0.020221,0.020600,1.000000,0.858369,3568296686.260507
0.020221,0.020600,1.000000,0.858369,3568296686.270507
0.020221,0.020600,1.000000,0.858369,3568296686.280508
0.020221,0.020600,1.000000,0.858369,3568296686.290507
0.020221,0.020600,1.000000,0.858369,3568296686.300508
0.020221,0.020600,1.000000,0.858369,3568296686.310509
0.020221,0.020600,1.000000,0.858369,3568296686.320508
0.020221,0.020600,1.000000,0.858369,3568296686.330509
0.020221,0.020600,1.000000,0.858369,3568296686.340509
0.020221,0.020600,1.000000,0.858369,3568296686.350509
0.020221,0.020600,1.000000,0.858369,3568296686.360509
0.020221,0.020600,1.000000,0.858369,3568296686.370508
0.020221,0.020600,1.000000,0.858369,3568296686.380510
0.020221,0.020600,1.000000,0.858369,3568296686.390510
0.020221,0.020600,1.000000,0.858369,3568296686.400511
0.020221,0.020600,1.000000,0.858369,3568296686.410510
0.020221,0.020600,1.000000,0.858369,3568296686.420511
0.020221,0.020600,1.000000,0.858369,3568296686.430512
0.020221,0.020600,1.000000,0.858369,3568296686.440513
0.020221,0.020600,1.000000,0.858369,3568296686.450511
0.020221,0.020600,1.000000,0.858369,3568296686.460513
0.020221,0.020600,1.000000,0.858369,3568296686.470512
0.020221,0.020600,1.000000,0.858369,3568296686.480513
0.020221,0.020600,1.000000,0.858369,3568296686.490514
0.020221,0.020600,1.000000,0.858369,3568296686.500514
0.020221,0.020600,1.000000,0.858369,3568296686.510514
0.020221,0.020600,1.000000,0.858369,3568296686.520514
0.020221,0.020600,1.000000,0.858369,3568296686.530515
0.020221,0.020600,1.000000,0.858369,3568296686.540515
0.020221,0.020600,1.000000,0.858369,3568296686.550515
0.020221,0.020600,1.000000,0.858369,3568296686.560516
0.020221,0.020600,1.000000,0.858369,3568296686.570517
0.020221,0.020600,1.000000,0.858369,3568296686.580516
0.020221,0.020600,1.000000,0.858369,3568296686.590515
0.020221,0.020600,1.000000,0.858369,3568296686.600516
0.020221,0.020600,1.000000,0.858369,3568296686.610517
0.020221,0.020600,1.000000,0.858369,3568296686.620517
0.020221,0.020600,1.000000,0.858369,3568296686.630517
0.020221,0.020600,1.000000,0.858369,3568296686.640518
0.020221,0.020600,1.000000,0.858369,3568296686.650518
0.020221,0.020600,1.000000,0.858369,3568296686.660519
0.020221,0.020600,1.000000,0.858369,3568296686.670517
0.020221,0.020600,1.000000,0.858369,3568296686.680519
